n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
32,4,4,16,0.058242,0.2881,0.0291,9.00,0.2687
32,4,8,32,0.061974,0.5414,0.0547,16.92,0.5051
32,4,16,64,0.062003,1.0823,0.1094,33.82,1.0096
32,4,32,128,0.061459,2.1839,0.2208,68.25,2.0372
32,4,64,256,0.061493,4.3653,0.4414,136.42,4.0721
32,16,16,256,0.062039,4.3269,0.4375,135.22,4.0363
32,32,8,256,0.061411,4.3711,0.4420,136.60,4.0776
32,32,16,512,0.114166,4.7025,0.4755,146.95,4.3867
32,8,64,512,0.114018,4.7086,0.4761,147.14,4.3924
32,64,16,1024,0.337294,3.1834,0.3219,99.48,2.9696
32,16,64,1024,0.335709,3.1984,0.3234,99.95,2.9836
32,64,64,4096,1.240769,3.4615,0.3500,108.17,3.2290
